track_id,track_name,artist_name
1X8uhUgBKmotpvHrsS7fEe,La Samba De Là-Bas,Henri Salvador
1Zj5XBiUaHTkkBJ2nET477,Ambarsare Diyan Warhiyan,Chorus
2e3v5wfUN8UB4jB41eDr4k,I Try,Fabien Nataf
3nWsw3kx2rhqcooV2bLLzq,This Is Gonna Be Good,Randy Newman
3wyfVx3VgWi3h7KUun10SR,Les premiers mammifères,Jean Claude Corbel
4LY0T9z0Nm1fZZrbBJX0pj,"Chorale for Snow White - From ""Snow White and the Seven Dwarfs""/Score",Frank Churchill
4PBWE5hmOPNGB2IFPvpQGV,Titlee Pyari Titlee,Chorus
4QrUwzwxZn5yxStrcT8aIK,"Sept variations sur ""La Seine""",Lucie Dolene
2YegxR5As7BeQuVp2U6pek,Be Without You - Kendu Mix,Mary J. Blige
1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),Usher
6B8pOvEZg9L1CamPMZ5OK2,RIP to the Parking Lot (feat. Boosie Badazz),T-Pain
16QN8cBubEq706vNtPpOME,Love So Soft,Kelly Clarkson
0CYLDwvvpJQySLA5CvqvSl,Pa Mi (with Ozuna),Tory Lanez
0ifooM33X1iBxVYyOkSbXW,A Lonely Night,The Weeknd
7nD9nN3jord9wWcfW3Gkcm,All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony
5mNV8Mz59bzyuQ53gTw0c0,Where the Party At,Jagged Edge
5toSnLJgSEwlnNzq61t63x,40 Shades of Choke,Ari Lennox
3wAI7MIQtTgwcRmwchPZBc,Go Legend (& Metro Boomin),Big Sean
5QlIZ0bT71AyrrfNApOQIw,Love Myself - Acoustic,Olivia O'Brien
0Yp3wCUpjrG7NWWPDpmQXm,Paranoid (feat. B.o.B),Ty Dolla $ign
5o54O3MOnMvcPTmkguYkwg,Ecstasy (feat. Jeremih),Dreezy
5yvhdo8FXbBsIllxv2Rr94,Prom,SZA
22jnEneSABg4vRCR1vow7F,Violet,Daniel Caesar
1Q7mhUVsCAWvzJkndM3wpm,High off You,Yo Trane
2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity,Twista
1rfGO3N4DPGodJLSSY9Re5,Sticky,Ravyn Lenae
28YJsoMPLIiUxtZqxVigbU,Drowning,Mario
7wBThXx7BGZHJJ3aN3OPvv,Confessions Part II - Confessions Special Edition Version,Usher
6ZzYETKetIfNUsZUb23jgG,Day 1 ◑,HONNE
4cIPBRZVBcsk7yiNYgAnqR,Fools,Madison Beer
1Mb187X5w3OUQNH6P5M28Y,Ex (feat. YG),Ty Dolla $ign
5c3AUslnwl5L7G3qDk3OqG,Yia se ghlikia patridha (For You Sweet Motherland),Chorus
5oJyHIHUS2aTkfiGxGNyw2,Les pachydermes,Jean Claude Corbel
5sEYIKSjE4jsWW4kRzBhKS,Le Cid - Remastered,Henri Salvador
5zVMw1Ztp4vpisL2ELwLEe,Sundar Bate Tabe,Chorus
6oj42tNc0gyNFBIIwTB808,Dis moi monsieur Bernard Minet,Bernard Minet
7M1nC2vqXBSlkAfJsOvVx2,Adieu Foulards Adieu Madras,Henri Salvador
08SJAqinCkhJPQvUbqlL3B,Antara Mama,Chorus
12ZHSrFpF0i3YbjV0epW4D,Ela Diz Que Tem,Henri Salvador
1DK9QmXY7YjbnavMfWsUUN,Little Polenta Is Born,Randy Newman
2LSz4sFsT1sm1Lx7jWm5Al,Aarti Kunj Bihari Ki,Chorus
4yNVII2BBfOZwvw8I1DPX4,Gimme Dat,Chorus
6FzZ3SYMbbvORrm29ZYjwF,Quand On S'aime À Paris,Henri Salvador
6i3RXg7jAjBh93cKIzo0yd,Tout Doux Tout Doucement,Henri Salvador
08hnuJPFZznoIUDiK8bldo,Everytime You Go Away,Joseph Williams
7mvUfG2CvKksNSWscbLdwq,Be Still My Soul,Glad
7FnVDyTcox4dNOqmfPiqgc,29 Ways to My Back Door,Tonic Sol-Fa
1GftM8EnWmLZZ5gULB2KTz,The Lady Is a Tramp,The King's Singers
1Xls3QHvOQ7YLB54R6BvgG,Hurt,Oliver Tree
7IJlk42gDKt5dfSSLwtEsp,Chinese Translation,M. Ward
4x9y3JSvsjBTbm4uEnBrdT,Don't Know Much (with Aaron Neville),Linda Ronstadt
6OEQZye4EZqfml03j52y2S,100 Miles,Blake Shelton
68R5ta83kcPebZs9Ru5L6Z,Lady Karma,Sonny Bama
69Rgsy7NjASkqeJUwEGsv6,It Ain't All Flowers,Sturgill Simpson
6kXGGyEPSRS1g9Ltm70jo9,Love the One You're With,"Crosby, Stills & Nash"
6vZ7leJdb4Gm9aWcjMNqnM,The Wind - Greatest Hits Version,Zac Brown Band
16zol4GvHyTER5irYODUk0,My Time's Comin',A Thousand Horses
2HQhhTbfAYrk29QAcDBPBn,Come as You Are,Turnpike Troubadours
3BcCqaxGznRqmB1BIerea2,I Just Wanna Be Mad,Terri Clark
4A7xMwPSQRuNSY6p7yH3a4,My Smoking Song (feat. B Real),Jelly Roll
6Wyg2wqHY7EwImlWsy5fAy,Lost,Chris Young
25ry9EyyRsp1dDctlAclin,Inside Your Heaven,Carrie Underwood
0eTHlx53lUn95HVsJtR6Qx,Dixie Chicken,Little Feat
7CH2lHI37sKoYXQOvX2Ltj,Blaze of Somethin',A Thousand Horses
0xERMvJD8djz1ZBjPSRLvM,Sea of Heartbreak,Don Gibson
5XkIIHnZLG0UIFdf25kEIZ,Jesus Was A Country Boy,Clay Walker
57WxOVaj94oWgdAinBPJWu,Smoke,Adam Calhoun
4NaDQhWGp3M5vLfZMDozrP,"To Be Young (Is To Be Sad, Is To Be High)",Dave Rawlings Machine
2QiQcA9qRpIN4Bd7bmN7uj,Running on Fumes (feat. Jelly Roll),Upchurch
6BLoKpgWtQbYqFDFUp9ApX,Fist City,Loretta Lynn
0lkte5wif8KIuWYYPw7yZo,On And On,Brett Eldredge
5cfafhSKBSIXCizRmR4zPp,Alligator Girl,Langhorne Slim
338gPBomyqx33wfeF1AGOd,Girlfriend,Matthew Sweet
1JPXXDx2OHtSRuEq7ru6zf,Shakin',Eddie Money
3UdSwtPZFPnxEpCNbWiMaL,I Pray My Way Out Of Trouble,Josh Turner
2qfGMqnRjiE4opZ4cBT65F,Welcome to the Future,Brad Paisley
42y5QLhmZUTAIvjxj9j5Lu,Wastin' gas,Dallas Smith
4UTcJuLaHwsPPP1bNnTRDt,I Told You So,Keith Urban
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind
4sbtM9ORGwmxGkXfctXbJq,NO FUN,Joji
7i6r9KotUPQg3ozKKgEPIN,Seven Nation Army,The White Stripes
2UREu1Y8CO4jXkbvqAtP7g,Monster,Skillet
7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean
1M321puDN1WBd5NF0ogOKW,Habit,Still Woozy
5anCkDvJ17aznvK5TED5uo,Hail to the King,Avenged Sevenfold
5aqu5xhPqoOWqF71PkfgM8,ATTENTION,Joji
1vNoA9F5ASnlBISFekDmg3,Zombie,Bad Wolves
6n9yCXvLhnYMgJIiIcMu7D,Rockstar,Nickelback
6nULLS7CipGMSzgQDxDpd1,Bad Company,Five Finger Death Punch
0y1QJc3SJVPKJ1OvFmFqe6,Way Down We Go,KALEO
5mkGfmJGFZpwK9nA5amOhv,Sex & Candy,Marcy Playground
40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,Disturbed
61mWefnWQOLf90gepjOCb3,Duality,Slipknot
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers
6lSr3iZTC144PKhvbPFzMp,Blurry,Puddle Of Mudd
37EJtTS7jT5WUyXGZzrwnI,Santa Monica,Everclear
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte
1YWnrz4pqjtt2zlEOuDIFg,Bouncin (feat. Offset),Kiana Ledé
0faXHILILebCGnJBPU6KJJ,The Diary of Jane - Single Version,Breaking Benjamin
2yXyz4NLTZx9CLdXfLTp5E,I Will Not Bow,Breaking Benjamin
1jJci4qxiYcOHhQR247rEU,Kids,MGMT
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire of the Sun
6wqJeItl3Vc3az4ZicSQAB,Before I Forget,Slipknot
6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,Three Days Grace
51UtgWS4z1eMPuLQOzPtNH,Amber,311
2T64m94VBrsEISkAYq6Cnq,Cooks,Still Woozy
77UXyXy6qie0sOtLdEIH4A,Demons,Joji
0nXyCNdS6fkZNP11DwGq1i,Lucy,Still Woozy
5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters
0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,Lifehouse
0Ti2dlF2xLjXblvdU5fCxM,Miss Murder,AFI
6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand
7CpbhqKUedOIrcvc94p60Y,Bodies,Drowning Pool
4ePP9So5xRzspjLFVVbj90,Two Princes,Spin Doctors
3ow0TQVttXQF8rLckmXgRx,Cherub Rock - Remastered 2011,The Smashing Pumpkins
1ZozJfi8u9cO2Ob8KwiwNT,Higher,Creed
3HE50TVRquwXe9yv2HFoNL,Never Too Late,Three Days Grace
0lVYRIVjK77Z6uG2GgM8Kl,I Can Only Imagine,MercyMe
4dVbhS6OiYvFikshyaQaCN,My Hero,Foo Fighters
1MQ8ydvrTnn2QJgXFATJvD,Ex Calling,6LACK
3Xfg7AegXaDLoD5GOUMf2e,My Demons,Starset
